Наименование ЛПУ;Адрес ЛПУ;Телефон;Виды помощи
"""XXI век"" Медицинский центр"" АНО";195297, Санкт-Петербург г, Брянцева ул, дом № 13, корпус 1;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";195298, Санкт-Петербург г, Ленская ул, дом № 17, корпус 1;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";195299, Санкт-Петербург г, Маршака пр-кт, дом № 4;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";196135, Санкт-Петербург г, Гастелло ул, дом № 22;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";197082, Санкт-Петербург г, Богатырский пр-кт, дом № 49, корпус 1;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";197341, Санкт-Петербург г, Коломяжский пр-кт, дом № 28;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";197375, Санкт-Петербург г, Щербакова ул, дом № 11;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";198264, Санкт-Петербург г, Пограничника Гарькавого ул, дом № 15, корпус 3;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";199155, Санкт-Петербург г, КИМа пр-кт, дом № 28;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""АБИА"" НК"" ООО";197371, Санкт-Петербург г, Королёва пр-кт, дом № 48, корпус 7;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";160000, Вологодская обл, Вологда г, Предтеченская ул, дом № 65;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";190000, Санкт-Петербург г, Аптекарский пр-кт, дом № 16Д;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";190000, Санкт-Петербург г, Ленинский пр-кт, дом № 168, корпус 4, Лит А;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";190000, Санкт-Петербург г, Литейный пр-кт, дом № 55а, лит А, пом 3-Н ком 31, 1 эт;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";192241, Санкт-Петербург г, Славы пр-кт, дом № 52, корпус 1;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";194354, Санкт-Петербург г, Учебный пер, дом № 2;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";196066, Санкт-Петербург г, Московский пр-кт, дом № 193, корпус 2;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";196084, Санкт-Петербург г, Московский пр-кт, дом № 73, корпус 4;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";196211, Санкт-Петербург г, Юрия Гагарина пр-кт, дом № 24, корпус 1;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";197110, Санкт-Петербург г, Малая Зеленина ул, дом № 1/22;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";197372, Санкт-Петербург г, Ильюшина ул, дом № 4, корпус 1;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";197374, Санкт-Петербург г, Савушкина ул, дом № 133, корпус 1;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";197706, Санкт-Петербург г, Сестрорецк г, Борисова ул, дом № 10;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";198217, Санкт-Петербург г, Танкиста Хрустицкого ул, дом № 9;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" ООО";199397, Санкт-Петербург г, Беринга ул, дом № 27;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Стоматологическая помощь, Помощь на дому в пределах административной границы города
"""АВА-Петер"" отделение Парадный квартал"" ООО";190000, Санкт-Петербург г, Парадная ул, дом № 7;+7 (812) 600-77-77;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""Адмиралтейские верфи"" филиал ""Медицинский центр"" АО";190121, Санкт-Петербург г, Реки Фонтанки наб, дом № 203;+7 (812) 714-80-80;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Адмиралтейские верфи"" филиал ""Медицинский центр"" АО";190121, Санкт-Петербург г, Садовая ул, дом № 126;+7 (812) 714-80-80;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Александровская больница"" СПб ГБУЗ";193312, Санкт-Петербург г, Солидарности пр-кт, дом № 4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Аллергомед"" Клиника "" ООО";196084, Санкт-Петербург г, Московский пр-кт, дом № 109;+7 (812) 603-36-03;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""Альфа Мед Плюс"" ООО";188662, Ленинградская обл, Всеволожский р-н, Мурино п, Охтинская аллея, дом № 16;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Альфа Мед Плюс"" ООО";188691, Ленинградская обл, Всеволожский р-н, Кудрово д, Европейский пр-кт, дом № 8;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Альфа Мед Плюс"" ООО";190000, Санкт-Петербург г, Белы Куна ул, дом № 6/1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Альфа Мед Плюс"" ООО";190000, Санкт-Петербург г, Маршала Казакова ул, дом № 9/1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Альфа Мед Плюс"" ООО";192177, Санкт-Петербург г, Караваевская ул, дом № 22;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Альфа Мед Плюс"" ООО";192281, Санкт-Петербург г, Купчинская ул, дом № 21, корпус 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Альфа Мед Плюс"" ООО";196657, Санкт-Петербург г, Колпино г, Пролетарская ул, дом № 46;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Альфа Мед Плюс"" ООО";197374, Санкт-Петербург г, Туристская ул, дом № 24/42;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Альфа Мед Плюс"" ООО";197375, Санкт-Петербург г, Земский пер, дом № 11/1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""БалтЗдрав Купчино"" ООО";192283, Санкт-Петербург г, Ярослава Гашека ул, дом № 5;+7 (812) 325-02-67;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""БалтЗдрав Купчино"" ООО";193232, Санкт-Петербург г, Дыбенко ул, дом № 25, корпус 1;+7 (812) 325-02-67;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""БалтЗдрав Купчино"" ООО";195257, Санкт-Петербург г, Гражданский пр-кт, дом № 84, корпус лит.А;+7 (812) 325-02-67;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""БалтЗдрав Купчино"" ООО";198095, Санкт-Петербург г, Маршала Говорова ул, дом № 37, корпус 2;+7 (812) 325-02-67;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""БАЛТИЙСКИЙ ЗАВОД"" АО";199106, Санкт-Петербург г, Косая линия, дом № 16;+7 (812) 644-53-75;Амбулаторно-поликлиническая помощь
"""БКО"" филиал ""БКО"" МСЧ"" АО";174411, Новгородская обл, Боровичский р-н, Боровичи г, Гагарина проезд, дом № 2/18;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Больница Боткина"" СПб ГБУЗ";191167, Санкт-Петербург г, Миргородская ул, дом № 3;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Больница Боткина"" СПб ГБУЗ";195067, Санкт-Петербург г, Пискарёвский пр-кт, дом № 49;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Больница Св. Георгия"" СПб ГБУЗ";194354, Санкт-Петербург г, Северный пр-кт, дом № 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Боровичи - Мебель"" филиал ЛПУ"" ЗАО";174411, Новгородская обл, Боровичский р-н, Боровичи г, 9 Января ул, дом № 38;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""БОРОВИЧСКАЯ ЦРБ"" ГОБУ";174406, Новгородская обл, Боровичский р-н, Боровичи г, 1 Мая пл, дом № 2А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""БОРОВИЧСКАЯ ЦРБ"" ГОБУ";174411, Новгородская обл, Боровичский р-н, Боровичи г, Подбельского ул, дом № 23;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Введенская больница"" СПб ГБУЗ""";191180, Санкт-Петербург г, Лазаретный пер, дом № 4А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ВиА-Медика"" ООО";188800, Ленинградская обл, Выборгский р-н, Выборг г, Ленинградское ш, дом № 47;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Водоканал Санкт-Петербурга"" филиал Медико-санитарная часть"" ГУП";196006, Санкт-Петербург г, Московский пр-кт, дом № 103, корпус 2;+7 (812) 326 52 78;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""Военно-медицинская академия имени С.М. Кирова""";190000, Санкт-Петербург г, Боткинская ул, дом № 21;+7 (812) 292-34-35;Амбулаторно-поликлиническая помощь
"""Военно-медицинская академия имени С.М. Кирова""";194044, Санкт-Петербург г, Академика Лебедева ул, дом № 6;+7 (812) 292-34-35;Амбулаторно-поликлиническая помощь
"""Волховская МБ"" ГБУЗ ЛО";187401, Ленинградская обл, Волховский р-н, Волхов г, Советская ул, дом № 21;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187403, Ленинградская обл, Волховский р-н, Волхов г, Волгоградская ул, дом № 13;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187406, Ленинградская обл, Волховский р-н, Волхов г, Авиационная ул, дом № 42;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187412, Ленинградская обл, Волховский р-н, Старая Ладога с, Советская ул, дом № 8;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187420, Ленинградская обл, Волховский р-н, Сясьстрой г, Бумажников ул, дом № 37;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187420, Ленинградская обл, Волховский р-н, Сясьстрой г, Петрозаводская ул, дом № 14;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187423, Ленинградская обл, Волховский р-н, Потанино д, дом № 12;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187439, Ленинградская обл, Волховский р-н, Колчаново с, Алексино мкр, дом № 31;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187442, Ленинградская обл, Волховский р-н, Усадище д, дом № 128;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187450, Ленинградская обл, Волховский р-н, Новая Ладога г, В мкр, дом № 29;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187450, Ленинградская обл, Волховский р-н, Новая Ладога г, Ленинградская ул, дом № 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Волховская МБ"" ГБУЗ ЛО";187460, Ленинградская обл, Волховский р-н, Паша с, Советская ул, дом № 169;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Время"" ММЦ"" ООО";194044, Санкт-Петербург г, Большой Сампсониевский пр-кт, дом № 60;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ВЦЭРМ им. А.М. Никифорова МЧС России"" ФГБУ";194044, Санкт-Петербург г, Академика Лебедева ул, дом № 4/2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ВЦЭРМ им. А.М. Никифорова МЧС России"" ФГБУ";197082, Санкт-Петербург г, Оптиков ул, дом № 54;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Выборгская МБ"" ГБУЗ ЛО""";188800, Ленинградская обл, Выборгский р-н, Выборг г, Ильинская ул, дом № 8;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Выборгская МБ"" ГБУЗ ЛО""";188800, Ленинградская обл, Выборгский р-н, Выборг г, Куйбышева ул, дом № 4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Выборгская МБ"" ГБУЗ ЛО""";188800, Ленинградская обл, Выборгский р-н, Выборг г, Куйбышева ул, дом № 7;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Выборгская МБ"" ГБУЗ ЛО""";188800, Ленинградская обл, Выборгский р-н, Выборг г, Ленина пр-кт, дом № 12;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Выборгская МБ"" ГБУЗ ЛО""";188800, Ленинградская обл, Выборгский р-н, Выборг г, Маяковского ул, дом № 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Выборгская МБ"" ГБУЗ ЛО""";188800, Ленинградская обл, Выборгский р-н, Выборг г, Октябрьская ул, дом № 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Выборгская МБ"" ГБУЗ ЛО""";188801, Ленинградская обл, Выборгский р-н, Выборг г, Приморское ш, дом № 36;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Выборгская МБ"" ГБУЗ ЛО""";188918, Ленинградская обл, Выборгский р-н, Советский пгт, Комсомольская ул, дом № 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""Выборгская МБ"" ГБУЗ ЛО""";188918, Ленинградская обл, Выборгский р-н, Советский пгт, Школьная ул, дом № 59;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""ГБУЗ ЛО ""ВСЕВОЛОЖСКАЯ КМБ""";188643, Ленинградская обл, Всеволожский р-н, Всеволожск г, Дорога Жизни ш, дом № 17;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГБУЗ ЛО ""ВСЕВОЛОЖСКАЯ КМБ""";188643, Ленинградская обл, Всеволожский р-н, Всеволожск г, Колтушское ш, дом № 20;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГБУЗ ЛО ""Киришская КМБ""";187110, Ленинградская обл, Киришский р-н, Кириши г, Героев пр-кт, дом № 36;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГБУЗ ЛО ""Киришская КМБ""";187110, Ленинградская обл, Киришский р-н, Кириши г, Молодежный б-р, дом № 6;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГБУЗ ЛО ""Киришская КМБ""";187110, Ленинградская обл, Киришский р-н, Кириши г, Советская ул, дом № 4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГБУЗ ЛО ""Тосненская КМБ""";187000, Ленинградская обл, Тосненский р-н, Тосно г, Барыбина ш, дом № 29;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""ГБУЗ ЛО ""Тосненская КМБ""";187000, Ленинградская обл, Тосненский р-н, Тосно, Боярово, дом № 21;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь, Стоматологическая помощь
"""ГВВ"" СПб ГБУЗ";191144, Санкт-Петербург г, Старорусская ул, дом № 3, лит. А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГВВ"" СПб ГБУЗ";192148, Санкт-Петербург г, Елизарова пр-кт, дом № 32, лит. А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГВВ"" СПб ГБУЗ";193079, Санкт-Петербург г, Дальневосточный пр-кт, дом № 63;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГВВ"" СПб ГБУЗ";193079, Санкт-Петербург г, Народная ул, дом № 21, корпус 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГКДЦ №1"" СПб ГБУЗ""";194156, Санкт-Петербург г, 2-й Муринский пр-кт, дом № 9;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГКДЦ №1"" СПб ГБУЗ""";194354, Санкт-Петербург г, Сикейроса ул, дом № 10;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ГМПБ №2"" СПб ГБУЗ";194354, Санкт-Петербург г, Учебный пер, дом № 5;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница № 26"" СПб ГБУЗ""";196247, Санкт-Петербург г, Костюшко ул, дом № 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №15"" СПб ГБУЗ";198205, Санкт-Петербург г, Авангардная ул, дом № 4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №20"" СПб ГБУЗ";196135, Санкт-Петербург г, Авиационная ул, дом № 42;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №20"" СПб ГБУЗ";196135, Санкт-Петербург г, Гастелло ул, дом № 21;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №20"" СПб ГБУЗ";196135, Санкт-Петербург г, Ленсовета ул, дом № 18;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №20"" СПб ГБУЗ";196143, Санкт-Петербург г, Ленсовета ул, дом № 54, корпус 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №33"" СПб ГБУЗ";196653, Санкт-Петербург г, Колпино г, Вавилова ул, дом № 3;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №33"" СПб ГБУЗ";196653, Санкт-Петербург г, Колпино г, Веры Слуцкой ул, дом № 18/20;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №33"" СПб ГБУЗ";196653, Санкт-Петербург г, Колпино г, Карла Маркса ул, дом № 21;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №33"" СПб ГБУЗ";196653, Санкт-Петербург г, Колпино г, Павловская ул, дом № 12;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №33"" СПб ГБУЗ";196653, Санкт-Петербург г, Колпино г, Павловская ул, дом № 16;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №38 им. Н.А. Семашко"" СПб ГБУЗ";190000, Санкт-Петербург г, Госпитальная ул, дом № 11;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №38 им. Н.А. Семашко"" СПб ГБУЗ";196601, Санкт-Петербург г, Пушкин г, Госпитальная ул, дом № 13;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №38 им. Н.А. Семашко"" СПб ГБУЗ";196601, Санкт-Петербург г, Пушкин г, Госпитальная ул, дом № 7/2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №38 им. Н.А. Семашко"" СПб ГБУЗ";196602, Санкт-Петербург г, Пушкин г, Павловское ш, дом № 56;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №40"" СПб ГБУЗ";197706, Санкт-Петербург г, Сестрорецк г, Борисова ул, дом № 9;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №40"" СПб ГБУЗ";197706, Санкт-Петербург г, Сестрорецк г, Володарского ул, дом № 24;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №40"" СПб ГБУЗ";197706, Санкт-Петербург г, Сестрорецк г, Инструментальщиков ул, дом № 11;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №40"" СПб ГБУЗ";197720, Санкт-Петербург г, Зеленогорск г, Комсомольская ул, дом № 11;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №40"" СПб ГБУЗ";197720, Санкт-Петербург г, Зеленогорск г, Красных Командиров пр-кт, дом № 45;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская больница №9"" СПб ГБУЗ";197110, Санкт-Петербург г, Крестовский пр-кт, дом № 18;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская клиническая больница №31"" СПб ГБУЗ";191060, Санкт-Петербург г, Смольный проезд, дом № 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская клиническая больница №31"" СПб ГБУЗ";197110, Санкт-Петербург г, Динамо пр-кт, дом № 11;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская клиническая больница №31"" СПб ГБУЗ";197110, Санкт-Петербург г, Динамо пр-кт, дом № 3;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская Мариинская больница"" СПб ГБУЗ";190000, Санкт-Петербург г, Жуковского ул, дом № 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская Мариинская больница"" СПб ГБУЗ";191014, Санкт-Петербург г, Литейный пр-кт, дом № 56;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""Городская Покровская больница"" СПб ГБУЗ";199106, Санкт-Петербург г, Большой В.О. пр-кт, дом № 85;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
